Date,kWh,smoothed
1999-01-01 00:30:00,1095.849144367229,1122.8143815911872
1999-01-01 01:30:00,1017.058719148966,1007.5306099948789
1999-01-01 02:30:00,1022.4097472105005,927.6498865322367
1999-01-01 03:30:00,800.0419936370066,883.17221120326
1999-01-01 04:30:00,864.1265394556125,892.1821668406978
1999-01-01 05:30:00,904.8701816099881,878.5297889721442
1999-01-01 06:30:00,973.4918268648377,864.696625718298
1999-01-01 07:30:00,748.0603039723457,819.7110582637936
1999-01-01 08:30:00,755.0816495923265,818.9901590490977
1999-01-01 09:30:00,915.468570666709,909.0373198386594
1999-01-01 10:30:00,1063.346970464306,1050.0476985288406
1999-01-01 11:30:00,1184.363741858512,1117.945703792496
1999-01-01 12:30:00,1039.678241078907,1036.580186532479
1999-01-01 13:30:00,939.7900316824152,926.7583747841995
1999-01-01 14:30:00,743.7250952445869,862.817494733089
1999-01-01 15:30:00,922.382733704561,915.9428453292221
1999-01-01 16:30:00,1005.2849275051477,919.2330489479864
1999-01-01 17:30:00,1013.0534458371217,941.3050160224108
1999-01-01 18:30:00,747.5567354587379,926.1869698867222
1999-01-01 19:30:00,969.9914853117839,920.0853711171043
1999-01-01 20:30:00,1015.3456143662041,935.0649293230022
1999-01-01 21:30:00,949.183262844187,1001.2191852832098
1999-01-01 22:30:00,960.8509868532932,995.9289101516787
1999-01-01 23:30:00,1042.6102744890325,1013.6715742043411
1999-01-02 00:30:00,1009.2756823819351,959.6957751233801
1999-01-02 01:30:00,948.0459692039888,927.0308542017546
1999-01-02 02:30:00,746.4626729777798,909.1063524266684
1999-01-02 03:30:00,1039.4152075227714,942.69212478267
1999-01-02 04:30:00,1013.7392253391001,987.9198818833222
1999-01-02 05:30:00,1021.2982722150152,1018.6045055527815
1999-01-02 06:30:00,965.0322908088796,1008.8210168737482
1999-01-02 07:30:00,976.2654446013328,988.9779256462466
1999-01-02 08:30:00,1092.5694981006684,974.5782533919333
1999-01-02 09:30:00,897.7313687426512,1046.2546163018428
1999-01-02 10:30:00,1070.2714396451242,1092.3007226451193
